sn,food_name,edible_portion,moisture,protein,fat,carbs,minerals,fiber,calories,calcium,phosphorus,iron,carotene,vitamin_c,thiamine,riboflavin,niacin,cluster_id
1,Amaranth seed,100.0,10.6,9.4,7.17,68.1,2.6,2.2,375.0,37.0,529.1,5.2,,,,,,4
2,Barely,100.0,12.5,11.5,1.3,69.6,1.2,3.9,336.0,26.0,215.0,1.7,10.0,0.0,0.47,0.2,5.4,4
3,Buck wheat (whole),74.0,11.3,10.3,2.4,65.1,2.3,8.6,323.0,64.0,355.0,15.5,0.0,0.0,0.9,0.34,4.4,4
4,Bajra,84.0,12.4,11.6,5.0,67.5,2.3,1.2,361.0,42.0,296.0,8.0,132.0,0.0,0.33,0.25,2.3,4
5,Bamboo seed,100.0,7.8,13.1,1.1,75.9,1.1,0.9,367.0,37.0,162.0,6.4,,,0.17,0.12,1.1,4
6,Buckwheat flour,,12.2,6.1,1.3,69.2,3.1,7.8,313.0,,,5.6,,,,,,4
7,Foxtail millet,79.0,11.2,12.3,4.3,60.9,3.3,8.0,331.0,31.0,290.0,12.9,32.0,,0.59,0.11,3.2,4
8,Finger millet (Ragi),100.0,13.1,7.3,1.3,72.0,2.7,3.6,328.0,344.0,283.0,3.9,42.0,,0.42,0.19,1.1,4
9,Prosomillet (chino),100.0,8.67,11.0,4.22,72.9,3.25,1.0,378.0,8.0,28.5,3.0,,,,,,4
10,French millet,59.0,11.9,12.5,1.1,70.4,1.9,2.2,341.0,14.0,206.0,5.0,0.0,,0.2,0.18,2.3,4
11,Jowar,100.0,11.9,10.4,1.9,72.6,1.6,1.6,349.0,25.0,222.0,5.8,47.0,0.0,0.37,0.13,3.2,4
12,Maize green (tender),37.0,67.1,4.7,0.9,24.6,0.8,1.9,125.0,9.0,121.0,1.1,32.0,0.0,0.11,0.17,0.6,0
13,Maize Dry,100.0,14.9,11.1,3.6,66.2,1.5,2.7,342.0,10.0,348.0,3.3,90.0,0.0,0.42,0.1,1.8,4
14,Maize dry (Murali),,8.87,12.1,4.31,70.9,1.4,2.2,372.0,,343.0,,,,,,,4
15,Maize flour (yellow),100.0,12.0,9.2,3.9,72.1,1.2,1.6,360.0,20.0,256.0,2.4,305.0,0.0,0.38,0.11,2.0,4
16,Maize flour (white),100.0,12.0,9.2,3.9,72.1,1.2,1.6,360.0,20.0,256.0,2.4,305.0,0.0,0.38,0.11,2.0,4
17,Millet,100.0,14.4,7.7,1.2,70.1,2.9,3.7,322.0,288.0,276.0,49.1,,,,,,4
18,Maize granular,100.0,12.0,9.0,3.4,74.5,1.1,1.0,362.0,17.0,223.0,1.8,290.0,0.0,0.3,0.08,1.9,4
