sn,food_name,edible_portion,moisture,protein,fat,carbs,minerals,fiber,calories,calcium,phosphorus,iron,carotene,vitamin_c,thiamine,riboflavin,niacin,cluster_id,breakfast,lunch,dinner,food_name_clean
1,Amaranth seed,100.0,10.6,9.4,7.17,68.1,2.6,2.2,375.0,37.0,529.1,5.2,,,,,,4,0,1,1,amaranth seed
2,Barely,100.0,12.5,11.5,1.3,69.6,1.2,3.9,336.0,26.0,215.0,1.7,10.0,0.0,0.47,0.2,5.4,4,0,1,0,barely
3,Buck wheat (whole),74.0,11.3,10.3,2.4,65.1,2.3,8.6,323.0,64.0,355.0,15.5,0.0,0.0,0.9,0.34,4.4,4,1,0,0,buck wheat whole
4,Bajra,84.0,12.4,11.6,5.0,67.5,2.3,1.2,361.0,42.0,296.0,8.0,132.0,0.0,0.33,0.25,2.3,4,1,0,0,bajra
5,Bamboo seed,100.0,7.8,13.1,1.1,75.9,1.1,0.9,367.0,37.0,162.0,6.4,,,0.17,0.12,1.1,4,0,1,1,bamboo seed
6,Buckwheat flour,,12.2,6.1,1.3,69.2,3.1,7.8,313.0,,,5.6,,,,,,4,0,0,1,buckwheat flour
7,Foxtail millet,79.0,11.2,12.3,4.3,60.9,3.3,8.0,331.0,31.0,290.0,12.9,32.0,,0.59,0.11,3.2,4,1,0,0,foxtail millet
8,Finger millet (Ragi),100.0,13.1,7.3,1.3,72.0,2.7,3.6,328.0,344.0,283.0,3.9,42.0,,0.42,0.19,1.1,4,1,0,0,finger millet ragi
9,Prosomillet (chino),100.0,8.67,11.0,4.22,72.9,3.25,1.0,378.0,8.0,28.5,3.0,,,,,,4,1,0,0,prosomillet chino
10,French millet,59.0,11.9,12.5,1.1,70.4,1.9,2.2,341.0,14.0,206.0,5.0,0.0,,0.2,0.18,2.3,4,1,0,0,french millet
11,Jowar,100.0,11.9,10.4,1.9,72.6,1.6,1.6,349.0,25.0,222.0,5.8,47.0,0.0,0.37,0.13,3.2,4,0,0,1,jowar
12,Maize green (tender),37.0,67.1,4.7,0.9,24.6,0.8,1.9,125.0,9.0,121.0,1.1,32.0,0.0,0.11,0.17,0.6,0,0,1,1,maize green tender
13,Maize Dry,100.0,14.9,11.1,3.6,66.2,1.5,2.7,342.0,10.0,348.0,3.3,90.0,0.0,0.42,0.1,1.8,4,0,0,1,maize dry
14,Maize dry (Murali),,8.87,12.1,4.31,70.9,1.4,2.2,372.0,,343.0,,,,,,,4,0,1,0,maize dry murali
15,Maize flour (yellow),100.0,12.0,9.2,3.9,72.1,1.2,1.6,360.0,20.0,256.0,2.4,305.0,0.0,0.38,0.11,2.0,4,0,0,1,maize flour yellow
16,Maize flour (white),100.0,12.0,9.2,3.9,72.1,1.2,1.6,360.0,20.0,256.0,2.4,305.0,0.0,0.38,0.11,2.0,4,0,0,1,maize flour white
17,Millet,100.0,14.4,7.7,1.2,70.1,2.9,3.7,322.0,288.0,276.0,49.1,,,,,,4,0,0,1,millet
18,Maize granular,100.0,12.0,9.0,3.4,74.5,1.1,1.0,362.0,17.0,223.0,1.8,290.0,0.0,0.3,0.08,1.9,4,0,1,0,maize granular
19,Naked barley white (Uwa),100.0,10.9,12.6,1.6,70.5,2.1,2.3,346.0,25.0,,4.1,,,,,,4,1,0,0,naked barley white uwa
20,Naked barley black (Uwa),100.0,12.1,10.4,1.75,70.9,2.3,2.5,340.0,20.3,,7.5,,,,,,4,1,0,0,naked barley black uwa
21,Uwa flour,100.0,7.17,9.6,2.6,76.7,1.9,2.0,369.0,,,1.4,,,,,,4,1,0,0,uwa flour
22,Oatmeal,100.0,10.7,13.6,7.6,62.8,1.8,3.5,374.0,50.0,380.0,3.8,0.0,,0.98,0.16,1.1,4,1,0,0,oatmeal
23,Rice Parboiled (hand pounded),100.0,12.6,8.5,0.6,77.4,0.9,1.5,349.0,10.0,280.0,2.8,9.0,0.0,0.27,0.12,4.0,4,0,1,1,rice parboiled hand pounded
24,Rice (raw) (Milled),100.0,13.7,6.8,0.5,78.2,0.6,0.2,345.0,10.0,160.0,0.7,0.0,0.0,0.21,0.06,1.9,4,0,1,1,rice raw milled
25,Rice (Raw) (Handpounded),100.0,13.3,7.5,1.0,76.7,0.9,0.6,346.0,10.0,190.0,3.2,2.0,0.0,0.21,0.16,3.9,4,0,1,1,rice raw handpounded
26,Rice flakes,100.0,12.2,6.6,1.2,77.3,2.0,0.7,346.0,20.0,238.0,20.0,0.0,0.0,0.05,0.05,4.0,4,0,1,1,rice flakes
27,Rice parboiled (Milled),100.0,13.3,6.4,0.4,79.0,0.7,0.2,345.0,9.0,143.0,1.0,,0.0,0.21,0.05,3.8,4,0,1,1,rice parboiled milled
28,Rice Puff,100.0,14.7,7.5,0.1,73.6,3.8,0.3,325.0,23.0,150.0,6.6,0.0,0.0,0.21,0.01,4.0,4,0,1,1,rice puff
29,Rice bran,,11.0,13.5,16.2,48.4,6.6,4.3,393.0,67.0,1410.0,35.0,,0.0,2.7,0.48,29.8,4,0,1,1,rice bran
30,Semolina,100.0,,10.4,0.8,74.8,,0.2,348.0,16.0,102.0,1.6,,,0.21,0.03,,4,1,0,0,semolina
31,Sorghum,100.0,14.3,7.6,2.4,74.7,1.0,0.6,357.0,17.0,196.0,3.6,0.0,0.0,0.1,0.03,3.0,4,1,0,0,sorghum
32,Sarvottam pitho (lito),100.0,2.68,21.29,10.84,61.7,3.08,0.4,427.0,22.5,49.0,4.3,,,,,,1,1,0,0,sarvottam pitho lito
