sn,food_name,protein,fat,carbs,fiber,calories,calcium,iron,vitamin_c
1,Amaranth seed,9.4,7.17,68.1,2.2,375.0,37.0,5.2,58.94
2,Barely,11.5,1.3,69.6,3.9,336.0,26.0,1.7,0.0
3,Buck wheat (whole),10.3,2.4,65.1,8.6,323.0,64.0,15.5,0.0
4,Bajra,11.6,5.0,67.5,1.2,361.0,42.0,8.0,0.0
5,Bamboo seed,13.1,1.1,75.9,0.9,367.0,37.0,6.4,58.95
6,Buckwheat flour,6.1,1.3,69.2,7.8,313.0,75.57,5.6,59.03
7,Foxtail millet,12.3,4.3,60.9,8.0,331.0,31.0,12.9,59.01
8,Finger millet (Ragi),7.3,1.3,72.0,3.6,328.0,344.0,3.9,58.97
9,Prosomillet (chino),11.0,4.22,72.9,1.0,378.0,8.0,3.0,58.94
10,French millet,12.5,1.1,70.4,2.2,341.0,14.0,5.0,59.0
11,Jowar,10.4,1.9,72.6,1.6,349.0,25.0,5.8,0.0
12,Maize green (tender),4.7,0.9,24.6,1.9,125.0,9.0,1.1,0.0
13,Maize Dry,11.1,3.6,66.2,2.7,342.0,10.0,3.3,0.0
14,Maize dry (Murali),12.1,4.31,70.9,2.2,372.0,125.47,7.01,58.93
15,Maize flour (yellow),9.2,3.9,72.1,1.6,360.0,20.0,2.4,0.0
16,Maize flour (white),9.2,3.9,72.1,1.6,360.0,20.0,2.4,0.0
17,Millet,7.7,1.2,70.1,3.7,322.0,288.0,49.1,58.97
18,Maize granular,9.0,3.4,74.5,1.0,362.0,17.0,1.8,0.0
19,Naked barley white (Uwa),12.6,1.6,70.5,2.3,346.0,25.0,4.1,58.99
20,Naked barley black (Uwa),10.4,1.75,70.9,2.5,340.0,20.3,7.5,59.0
21,Uwa flour,9.6,2.6,76.7,2.0,369.0,13.49,1.4,58.96
22,Oatmeal,13.6,7.6,62.8,3.5,374.0,50.0,3.8,58.94
23,Rice Parboiled (hand pounded),8.5,0.6,77.4,2.94,349.0,10.0,2.8,0.0
24,Rice (raw) (Milled),6.8,0.5,78.2,0.2,345.0,10.0,0.7,0.0
25,Rice (Raw) (Handpounded),7.5,1.0,76.7,0.6,346.0,10.0,3.2,0.0
26,Rice flakes,6.6,1.2,77.3,0.7,346.0,20.0,20.0,0.0
27,Rice parboiled (Milled),6.4,0.4,79.0,0.2,345.0,9.0,1.0,0.0
28,Rice Puff,7.5,0.1,73.6,0.3,325.0,23.0,6.6,0.0
29,Rice bran,13.5,16.2,48.4,4.3,393.0,67.0,35.0,0.0
30,Semolina,10.4,0.8,74.8,0.2,348.0,16.0,1.6,58.99
31,Sorghum,7.6,2.4,74.7,0.6,357.0,17.0,3.6,0.0
32,Sarvottam pitho (lito),21.29,10.84,61.7,0.4,427.0,22.5,4.3,58.87
33,Taichin beaten rice,7.68,1.94,77.9,0.56,360.0,19.11,4.9,58.97
34,Vermicelli,8.7,0.4,78.3,0.2,352.0,22.0,2.0,58.98
35,Varagu,6.7,0.7,67.0,3.1,310.0,73.68,5.52,59.03
36,Varagu flour,6.1,1.3,69.2,2.0,313.0,65.19,5.56,59.03
37,Wheat flour (whole),12.1,1.7,69.4,1.9,341.0,48.0,4.9,0.0
38,Wheat flour (refined),11.0,0.9,73.9,0.3,348.0,23.0,2.7,0.0
39,Wheat germ,29.2,7.4,53.3,1.4,397.0,40.0,6.0,0.0
40,Wheat bran,14.6,3.0,66.0,6.8,397.0,132.0,13.8,0.0
41,"Bengal gram, Big, white (whole)",21.1,4.0,56.7,4.5,347.2,56.2,5.3,58.98
42,Bengal gram dal (chickpea),20.8,5.6,59.8,1.2,372.0,56.0,5.3,1.0
43,"Bengal gram medium, white",23.2,3.7,54.6,4.7,345.0,45.6,3.6,58.99
44,"Bengal gram, Dark brown big",17.1,5.3,60.9,3.9,360.0,44.8,4.6,3.0
45,"Bengal gram, light brown small",24.0,4.1,54.9,3.7,352.5,47.6,4.4,58.98
46,"Bengal gram, brown small",20.6,3.5,59.0,3.5,349.9,59.2,5.3,58.98
47,"Bengal gram, Small, White",23.2,3.7,54.6,4.7,344.5,45.6,3.6,58.99
48,Black gram (Dal),24.0,1.4,59.6,0.9,347.0,154.0,3.8,0.0
49,Black gram (Whole),21.0,1.6,58.8,4.4,344.0,110.0,8.4,2.0
50,Broadbean,25.0,1.2,29.3,5.1,328.0,104.0,4.2,59.01
51,Black bean,23.73,1.31,58.7,2.1,342.0,263.58,9.42,58.96
52,Bhote simi,23.49,3.71,57.7,1.32,358.0,263.45,9.51,58.94
53,Cow Pea,24.1,1.0,54.5,3.8,323.0,77.0,8.6,0.0
54,Fieldbean dry (simi),24.9,1.3,60.1,1.4,347.0,60.0,4.4,58.98
55,Gram Flour besan,17.9,4.3,63.5,0.1,364.0,129.0,5.6,58.95
56,"Green gram (Dal), Green",24.5,1.2,59.9,4.2,348.0,75.0,3.9,0.0
57,Green gram (whole),24.0,1.3,56.7,4.1,335.0,124.0,7.3,0.0
58,Green peas dry,23.33,1.03,61.3,3.71,348.0,145.02,1.86,58.97
59,Mung dal (yellow),26.71,0.93,58.0,1.71,348.0,160.27,1.17,58.97
60,Horsegram black,22.0,0.5,57.2,5.3,321.0,287.0,6.77,58.99
61,Horsegram red,21.11,0.85,57.4,4.12,322.0,242.75,8.86,58.99
62,Khesari dal,28.2,0.6,56.6,2.3,345.0,90.0,6.3,58.98
63,Katike Cow Pea,22.86,1.56,56.1,5.1,330.0,9.0,4.24,59.01
64,Kause bean,18.04,5.26,62.5,0.88,369.0,199.17,8.35,58.93
65,Lentil,25.1,0.7,59.0,0.7,343.0,69.0,7.5,58.99
66,Moth beans,23.6,1.1,56.6,4.5,330.0,202.0,9.5,2.0
67,Moth beans (Yellow),22.95,0.46,59.1,3.27,358.0,253.04,9.13,58.94
68,Moth beans (Red),19.74,0.7,62.7,3.63,336.0,218.34,8.53,58.97
69,Peas (dry),19.7,1.9,55.7,4.5,319.0,75.0,7.05,0.0
70,Rajmah,22.9,1.3,60.6,4.8,346.0,260.0,5.1,58.95
71,Red gram dal,22.3,1.7,57.6,1.5,335.0,73.0,2.7,59.0
72,Soyabean (black),33.3,15.0,31.3,4.3,393.0,213.0,9.5,58.9
73,Soyabean (Brown),43.2,19.5,20.9,3.7,432.0,240.0,10.4,58.84
74,Soyabean (white),33.3,17.7,29.6,4.2,411.0,226.0,8.5,0.0
75,Tarbare Simi (red),23.52,1.42,57.8,1.24,338.0,260.84,9.33,58.96
76,Sprout bean,13.0,0.2,0.5,0.8,56.0,5.7,3.8,16.8
77,White peas big,23.3,0.8,58.0,3.1,332.0,11.0,5.3,59.01
78,White bean,22.6,1.42,56.6,1.42,330.0,173.47,3.8,58.99
79,Mung (Titura),26.2,1.3,59.5,0.9,355.0,11.0,4.8,58.98
80,Tofu (Soybean product),16.5,0.3,1.6,0.03,75.0,18.4,1.0,59.38
81,Nutrila (Soybean),46.9,1.0,33.2,1.4,329.0,33.0,12.8,59.01
82,Amaranth (spined),3.0,0.3,7.0,1.1,43.0,800.0,22.9,33.0
83,Amaranth (tender),4.0,0.5,6.1,1.0,45.0,397.0,3.49,99.0
84,Asparagus (Kurilo),3.3,0.1,2.7,0.8,25.0,30.6,1.3,12.8
85,Agathi,8.4,1.4,11.8,2.2,93.0,1130.0,3.9,169.0
86,Aniseed leaves,2.86,0.59,5.2,1.15,38.0,119.9,4.51,42.31
87,Bethel leaves,3.7,0.4,2.9,0.8,30.0,150.0,4.2,35.0
88,Beet green,3.4,0.8,6.5,0.7,46.0,380.0,16.2,70.0
89,Buckwheat leaves,3.92,0.11,3.8,0.87,31.0,141.64,4.16,81.85
90,Bengalgram leaves,7.0,1.4,14.1,2.0,97.0,340.0,23.8,61.0
91,Bottleguard leaves,2.3,0.7,6.1,1.3,39.0,80.0,3.07,59.42
92,Broadbean leaves,5.6,0.3,11.5,1.7,71.0,111.0,3.97,59.37
93,Brussels sprouts,4.7,0.5,7.1,1.2,52.0,43.0,1.8,72.0
94,Cabbage green,1.8,0.1,4.6,1.0,27.0,39.0,0.8,124.0
95,Cabbage purple,1.9,0.2,3.5,2.2,11.0,22.7,1.1,59.47
96,"Cauliflower, Green",5.9,1.3,7.6,2.0,66.0,626.0,40.0,59.3
97,Cauliflower (flower only),0.75,2.4,6.6,0.25,41.0,11.51,0.85,86.62
98,Choisum Sag,2.7,0.3,6.4,1.5,39.0,65.2,1.5,10.3
99,Chukandar,2.8,0.1,7.8,0.4,43.0,20.0,1.3,59.43
100,Chocho leaves,3.01,0.21,3.2,1.01,27.0,42.53,2.26,11.92
101,Coriander leaves,3.3,0.6,6.3,1.2,44.0,184.0,1.42,135.0
102,Carrot leaves,5.1,0.5,13.1,1.9,77.0,340.0,8.8,79.0
103,Celery leaves,6.3,0.6,1.6,1.4,37.0,230.0,6.3,62.0
104,Colocasia leaves (Black variety),6.8,2.0,8.1,1.8,77.0,460.0,0.98,63.0
105,Colocasia leaves (Green variety),3.9,1.5,6.8,2.9,56.0,227.0,10.0,12.0
106,Colocasia leaves (dried),13.7,5.9,42.3,16.0,277.0,1546.0,34.38,58.86
107,Cowpea leaves,3.4,0.7,4.1,1.2,38.0,290.0,20.1,4.0
108,Dundu,2.57,0.0,3.66,1.22,25.0,86.22,3.19,11.92
109,Drumstick leaves,6.7,1.7,12.5,0.9,92.0,440.0,0.85,220.0
110,Fenugreek leaves,4.4,0.9,6.0,1.1,49.0,395.0,1.93,52.0
111,Garden cress,5.8,1.0,8.7,4.5,67.0,360.0,28.6,59.34
112,Garden sorrel,0.6,0.2,5.1,1.3,25.0,130.0,1.7,5.0
113,Garlic (stem & leaves),2.4,0.5,15.1,1.6,76.0,53.0,0.6,36.0
114,Gyanth Kobi,2.6,1.0,6.0,0.2,43.0,19.3,13.2,8.6
115,Gyanth Kobi Leaves,2.8,0.5,9.7,0.8,56.0,31.1,0.1,10.1
116,Gothale Sag,2.07,0.4,9.6,2.01,51.0,274.0,7.13,31.6
117,jaluka Saag,2.4,0.43,5.5,3.02,35.0,254.45,3.6,3.25
