sn,food_name,protein,fat,carbs,fiber,calories,calcium,iron,vitamin_c,breakfast,lunch,dinner,food_name_clean,breakfast_cluster,lunch_cluster,dinner_cluster
1,Amaranth seed,9.4,7.17,68.1,2.2,375.0,37.0,5.2,58.94,1,0,0,amaranth seed,1,,
2,Barely,11.5,1.3,69.6,3.9,336.0,26.0,1.7,0.0,0,1,0,barely,,1,
3,Buck wheat (whole),10.3,2.4,65.1,8.6,323.0,64.0,15.5,0.0,1,0,0,buck wheat (whole),1,,
4,Bajra,11.6,5.0,67.5,1.2,361.0,42.0,8.0,0.0,1,0,0,bajra,1,,
5,Bamboo seed,13.1,1.1,75.9,0.9,367.0,37.0,6.4,58.95,0,1,1,bamboo seed,,1,3
6,Buckwheat flour,6.1,1.3,69.2,7.8,313.0,75.57,5.6,59.03,0,0,1,buckwheat flour,,,3
7,Foxtail millet,12.3,4.3,60.9,8.0,331.0,31.0,12.9,59.01,1,0,0,foxtail millet,1,,
8,Finger millet (Ragi),7.3,1.3,72.0,3.6,328.0,344.0,3.9,58.97,1,0,0,finger millet (ragi),1,,
9,Prosomillet (chino),11.0,4.22,72.9,1.0,378.0,8.0,3.0,58.94,1,0,0,prosomillet (chino),1,,
10,French millet,12.5,1.1,70.4,2.2,341.0,14.0,5.0,59.0,1,0,0,french millet,1,,
11,Jowar,10.4,1.9,72.6,1.6,349.0,25.0,5.8,0.0,0,0,1,jowar,,,3
12,Maize green (tender),4.7,0.9,24.6,1.9,125.0,9.0,1.1,0.0,0,1,1,maize green (tender),,0,1
13,Maize Dry,11.1,3.6,66.2,2.7,342.0,10.0,3.3,0.0,0,0,1,maize dry,,,3
14,Maize dry (Murali),12.1,4.31,70.9,2.2,372.0,125.47,7.01,58.93,0,1,0,maize dry (murali),,1,
15,Maize flour (yellow),9.2,3.9,72.1,1.6,360.0,20.0,2.4,0.0,0,0,1,maize flour (yellow),,,3
16,Maize flour (white),9.2,3.9,72.1,1.6,360.0,20.0,2.4,0.0,0,0,1,maize flour (white),,,3
17,Millet,7.7,1.2,70.1,3.7,322.0,288.0,49.1,58.97,0,0,1,millet,,,3
18,Maize granular,9.0,3.4,74.5,1.0,362.0,17.0,1.8,0.0,0,1,0,maize granular,,1,
19,Naked barley white (Uwa),12.6,1.6,70.5,2.3,346.0,25.0,4.1,58.99,1,0,0,naked barley white (uwa),1,,
20,Naked barley black (Uwa),10.4,1.75,70.9,2.5,340.0,20.3,7.5,59.0,1,0,0,naked barley black (uwa),1,,
21,Uwa flour,9.6,2.6,76.7,2.0,369.0,13.49,1.4,58.96,1,0,0,uwa flour,1,,
22,Oatmeal,13.6,7.6,62.8,3.5,374.0,50.0,3.8,58.94,1,0,0,oatmeal,1,,
23,Rice Parboiled (hand pounded),8.5,0.6,77.4,2.94,349.0,10.0,2.8,0.0,0,1,1,rice parboiled (hand pounded),,1,3
24,Rice (raw) (Milled),6.8,0.5,78.2,0.2,345.0,10.0,0.7,0.0,0,1,1,rice (raw) (milled),,1,3
25,Rice (Raw) (Handpounded),7.5,1.0,76.7,0.6,346.0,10.0,3.2,0.0,0,1,1,rice (raw) (handpounded),,1,3
26,Rice flakes,6.6,1.2,77.3,0.7,346.0,20.0,20.0,0.0,0,1,1,rice flakes,,1,3
27,Rice parboiled (Milled),6.4,0.4,79.0,0.2,345.0,9.0,1.0,0.0,0,1,1,rice parboiled (milled),,1,3
28,Rice Puff,7.5,0.1,73.6,0.3,325.0,23.0,6.6,0.0,0,1,1,rice puff,,1,3
29,Rice bran,13.5,16.2,48.4,4.3,393.0,67.0,35.0,0.0,0,1,1,rice bran,,3,2
30,Semolina,10.4,0.8,74.8,0.2,348.0,16.0,1.6,58.99,1,0,0,semolina,1,,
31,Sorghum,7.6,2.4,74.7,0.6,357.0,17.0,3.6,0.0,1,0,0,sorghum,1,,
32,Sarvottam pitho (lito),21.29,10.84,61.7,0.4,427.0,22.5,4.3,58.87,1,0,0,sarvottam pitho (lito),1,,
33,Taichin beaten rice,7.68,1.94,77.9,0.56,360.0,19.11,4.9,58.97,1,1,1,taichin beaten rice,1,1,3
34,Vermicelli,8.7,0.4,78.3,0.2,352.0,22.0,2.0,58.98,1,0,0,vermicelli,1,,
35,Varagu,6.7,0.7,67.0,3.1,310.0,73.68,5.52,59.03,1,0,0,varagu,1,,
36,Varagu flour,6.1,1.3,69.2,2.0,313.0,65.19,5.56,59.03,1,0,0,varagu flour,1,,
37,Wheat flour (whole),12.1,1.7,69.4,1.9,341.0,48.0,4.9,0.0,0,0,1,wheat flour (whole),,,3
38,Wheat flour (refined),11.0,0.9,73.9,0.3,348.0,23.0,2.7,0.0,0,0,1,wheat flour (refined),,,3
39,Wheat germ,29.2,7.4,53.3,1.4,397.0,40.0,6.0,0.0,1,0,0,wheat germ,1,,
40,Wheat bran,14.6,3.0,66.0,6.8,397.0,132.0,13.8,0.0,1,0,0,wheat bran,1,,
41,"Bengal gram, Big, white (whole)",21.1,4.0,56.7,4.5,347.2,56.2,5.3,58.98,0,0,1,"bengal gram, big, white (whole)",,,0
42,Bengal gram dal (chickpea),20.8,5.6,59.8,1.2,372.0,56.0,5.3,1.0,0,1,1,bengal gram dal (chickpea),,2,0
43,"Bengal gram medium, white",23.2,3.7,54.6,4.7,345.0,45.6,3.6,58.99,0,1,0,"bengal gram medium, white",,2,
44,"Bengal gram, Dark brown big",17.1,5.3,60.9,3.9,360.0,44.8,4.6,3.0,0,1,0,"bengal gram, dark brown big",,2,
45,"Bengal gram, light brown small",24.0,4.1,54.9,3.7,352.5,47.6,4.4,58.98,0,1,0,"bengal gram, light brown small",,2,
46,"Bengal gram, brown small",20.6,3.5,59.0,3.5,349.9,59.2,5.3,58.98,0,1,0,"bengal gram, brown small",,2,
47,"Bengal gram, Small, White",23.2,3.7,54.6,4.7,344.5,45.6,3.6,58.99,0,1,0,"bengal gram, small, white",,2,
48,Black gram (Dal),24.0,1.4,59.6,0.9,347.0,154.0,3.8,0.0,0,1,1,black gram (dal),,2,0
49,Black gram (Whole),21.0,1.6,58.8,4.4,344.0,110.0,8.4,2.0,0,0,1,black gram (whole),,,0
50,Broadbean,25.0,1.2,29.3,5.1,328.0,104.0,4.2,59.01,0,1,1,broadbean,,2,0
51,Black bean,23.73,1.31,58.7,2.1,342.0,263.58,9.42,58.96,0,1,1,black bean,,2,0
52,Bhote simi,23.49,3.71,57.7,1.32,358.0,263.45,9.51,58.94,0,1,1,bhote simi,,2,0
53,Cow Pea,24.1,1.0,54.5,3.8,323.0,77.0,8.6,0.0,0,0,1,cow pea,,,0
54,Fieldbean dry (simi),24.9,1.3,60.1,1.4,347.0,60.0,4.4,58.98,0,1,1,fieldbean dry (simi),,2,0
55,Gram Flour besan,17.9,4.3,63.5,0.1,364.0,129.0,5.6,58.95,1,0,0,gram flour besan,1,,
56,"Green gram (Dal), Green",24.5,1.2,59.9,4.2,348.0,75.0,3.9,0.0,0,1,1,"green gram (dal), green",,2,0
57,Green gram (whole),24.0,1.3,56.7,4.1,335.0,124.0,7.3,0.0,0,0,1,green gram (whole),,,0
58,Green peas dry,23.33,1.03,61.3,3.71,348.0,145.02,1.86,58.97,0,1,0,green peas dry,,2,
59,Mung dal (yellow),26.71,0.93,58.0,1.71,348.0,160.27,1.17,58.97,0,1,1,mung dal (yellow),,2,0
60,Horsegram black,22.0,0.5,57.2,5.3,321.0,287.0,6.77,58.99,0,1,0,horsegram black,,2,
61,Horsegram red,21.11,0.85,57.4,4.12,322.0,242.75,8.86,58.99,0,1,0,horsegram red,,2,
62,Khesari dal,28.2,0.6,56.6,2.3,345.0,90.0,6.3,58.98,0,1,1,khesari dal,,2,0
63,Katike Cow Pea,22.86,1.56,56.1,5.1,330.0,9.0,4.24,59.01,0,1,1,katike cow pea,,2,0
64,Kause bean,18.04,5.26,62.5,0.88,369.0,199.17,8.35,58.93,0,1,1,kause bean,,2,0
65,Lentil,25.1,0.7,59.0,0.7,343.0,69.0,7.5,58.99,0,1,1,lentil,,2,0
66,Moth beans,23.6,1.1,56.6,4.5,330.0,202.0,9.5,2.0,0,1,1,moth beans,,2,0
67,Moth beans (Yellow),22.95,0.46,59.1,3.27,358.0,253.04,9.13,58.94,0,1,1,moth beans (yellow),,2,0
68,Moth beans (Red),19.74,0.7,62.7,3.63,336.0,218.34,8.53,58.97,0,1,1,moth beans (red),,2,0
69,Peas (dry),19.7,1.9,55.7,4.5,319.0,75.0,7.05,0.0,0,0,1,peas (dry),,,0
70,Rajmah,22.9,1.3,60.6,4.8,346.0,260.0,5.1,58.95,0,0,1,rajmah,,,0
71,Red gram dal,22.3,1.7,57.6,1.5,335.0,73.0,2.7,59.0,0,1,1,red gram dal,,2,0
72,Soyabean (black),33.3,15.0,31.3,4.3,393.0,213.0,9.5,58.9,0,1,1,soyabean (black),,2,0
73,Soyabean (Brown),43.2,19.5,20.9,3.7,432.0,240.0,10.4,58.84,0,1,1,soyabean (brown),,3,2
74,Soyabean (white),33.3,17.7,29.6,4.2,411.0,226.0,8.5,0.0,0,1,1,soyabean (white),,3,2
75,Tarbare Simi (red),23.52,1.42,57.8,1.24,338.0,260.84,9.33,58.96,0,1,1,tarbare simi (red),,2,0
76,Sprout bean,13.0,0.2,0.5,0.8,56.0,5.7,3.8,16.8,0,1,1,sprout bean,,0,1
77,White peas big,23.3,0.8,58.0,3.1,332.0,11.0,5.3,59.01,0,1,0,white peas big,,2,
78,White bean,22.6,1.42,56.6,1.42,330.0,173.47,3.8,58.99,0,1,1,white bean,,2,0
79,Mung (Titura),26.2,1.3,59.5,0.9,355.0,11.0,4.8,58.98,0,1,1,mung (titura),,2,0
80,Tofu (Soybean product),16.5,0.3,1.6,0.03,75.0,18.4,1.0,59.38,0,1,1,tofu (soybean product),,0,1
81,Nutrila (Soybean),46.9,1.0,33.2,1.4,329.0,33.0,12.8,59.01,0,1,1,nutrila (soybean),,2,0
